D	320
R	295
.	458
O	59
H	502
.	387
O	166
L	138
1	520
.	167
O	443
W	261
G	518
.	411
D	252
L	109
D	386
5	353
/	355
S	441
X	98
D	316
S	338
H	23
F	515
.	144
D	488
D	517
.	399
R	40
H	389
.	171
R	199
.	42
3	352
R	410
R	118
G	275
W	516
.	359
.	282
.	270
H	453
.	510
F	480
P	3
D	495
G	159
.	347
P	168
E	296
.	17
.	440
G	485
D	276
F	185
V	135
H	178
.	486
G	400
W	183
W	501
G	157
S	209
D	344
Y	113
R	465
V	53
S	235
F	117
U	461
.	463
R	405
H	73
/	496
.	72
R	162
X	448
Y	326
Q	10
Q	385
O	247
P	487
D	143
J	362
V	147
D	34
D	431
D	460
F	511
.	301
H	125
L	229
T	221
L	434
D	369
.	201
D	79
H	363
V	374
I	447
D	519
.	356
J	293
O	417
H	38
X	203
P	126
D	358
V	48
F	26
U	308
L	426
H	146
U	251
.	337
.	370
U	145
D	122
O	317
D	239
L	365
5	351
/	16
V	200
E	433
Q	194
R	512
Q	349
L	318
S	24
U	390
R	14
H	408
.	45
D	456
V	151
P	432
Y	255
U	472
R	56
H	193
D	165
S	94
Q	439
L	164
D	49
W	124
Q	186
G	483
F	315
R	280
.	429
F	55
G	331
H	260
U	13
H	47
H	130
K	388
E	286
W	412
\	258
W	397
D	172
O	298
W	105
H	60
G	319
F	1
U	82
.	508
.	259
P	452
.	477
X	136
E	153
P	393
Q	361
V	15
Q	110
.	383
L	234
Q	119
.	54
P	225
R	377
R	285
U	367
D	175
G	230
.	35
V	300
U	92
.	311
Q	343
Q	436
V	425
V	379
W	20
H	86
R	96
V	493
H	348
.	424
O	236
V	19
.	373
L	11
.	257
.	278
D	152
Q	123
R	189
H	366
H	339
R	208
W	468
U	240
X	438
D	134
P	289
O	287
R	250
O	180
X	492
.	179
.	330
F	464
R	2
R	25
.	303
.	160
J	406
H	395
.	81
1	346
.	216
F	414
V	161
H	103
R	62
G	100
.	93
.	333
V	41
.	140
E	505
P	198
H	217
W	228
R	246
X	141
.	437
U	381
V	232
D	309
Q	513
.	402
R	479
Q	427
Q	454
.	265
Q	475
V	409
F	245
.	244
.	64
H	223
.	191
Q	111
W	430
H	413
W	192
L	241
H	288
G	43
D	91
U	445
.	116
Q	218
Q	449
R	220
V	30
H	401
H	106
J	419
R	70
U	33
Q	80
H	435
L	327
.	314
.	176
L	237
D	335
H	482
U	277
/	423
U	95
J	76
G	46
L	420
P	57
Q	371
S	403
.	213
L	231
D	21
O	37
W	253
Q	128
R	89
O	506
.	350
F	263
M	491
Q	104
X	384
X	214
O	357
O	457
V	467
J	8
L	187
G	323
L	6
F	233
P	102
F	421
H	332
D	269
D	297
D	248
U	196
.	5
W	31
D	484
V	498
\	302
L	51
H	324
R	372
L	504
D	169
Q	150
L	368
I	219
L	77
R	375
R	256
U	274
V	478
M	306
W	129
L	481
O	334
/	107
D	101
T	65
G	195
L	154
T	202
Q	215
Q	69
R	149
Q	39
.	68
O	174
D	462
G	321
O	85
H	305
O	155
G	207
I	50
.	22
W	455
U	284
Q	238
Q	396
R	112
.	28
U	340
.	473
8	354
L	471
D	313
E	272
Q	415
O	227
R	273
R	242
D	206
R	416
D	271
S	148
\	132
H	184
R	307
R	422
D	398
.	292
V	341
I	97
.	182
I	84
H	197
U	268
[	87
.	322
F	163
R	181
V	71
H	44
U	469
.	490
U	139
X	470
L	254
Q	503
G	177
.	133
V	291
U	407
V	281
P	137
H	83
.	378
D	329
.	325
P	304
H	67
D	476
G	328
W	121
S	266
D	392
W	494
U	212
U	404
O	279
M	61
H	299
1	190
X	474
O	376
U	310
H	9
V	489
H	29
L	360
.	205
H	514
O	36
H	507
L	156
.	131
X	226
[	74
D	444
Q	364
H	18
.	497
.	446
O	173
V	500
V	345
\	509
D	27
U	78
U	391
V	170
L	262
H	12
R	4
D	32
X	222
R	52
.	108
Q	466
.	224
R	428
H	127
O	312
G	450
Q	90
D	382
D	451
H	380
V	120
Q	7
S	459
V	63
E	249
S	283
L	442
L	88
R	342
D	290
/	243
W	210
O	294
H	204
R	499
D	114
X	66
R	264
Q	142
Q	99
F	188
L	394
U	115
D	267
S	58
D	211
V	336
L	75
D	158
R	418
